"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Markdown", "YAML", "XML", "TypeScript JSX", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\taker\code\web\grad-new\.github\workflows\main.yml", "YAML", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\taker\code\web\grad-new\README.md", "Markdown", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 11, 39
"c:\Users\taker\code\web\grad-new\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\taker\code\web\grad-new\package-lock.json", "JSON", 2405, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2406
"c:\Users\taker\code\web\grad-new\package.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\taker\code\web\grad-new\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\taker\code\web\grad-new\src\App.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\taker\code\web\grad-new\src\app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\taker\code\web\grad-new\src\app.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 10, 106
"c:\Users\taker\code\web\grad-new\src\assets\preact.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\taker\code\web\grad-new\src\components\Compulsory.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 11, 120
"c:\Users\taker\code\web\grad-new\src\components\GradeChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 4, 37
"c:\Users\taker\code\web\grad-new\src\components\GraduationChecker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 7, 54
"c:\Users\taker\code\web\grad-new\src\components\OptionSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 5, 52
"c:\Users\taker\code\web\grad-new\src\consts\const.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\taker\code\web\grad-new\src\consts\courseCodeTypes.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 1, 63
"c:\Users\taker\code\web\grad-new\src\data\kdb.json", "JSON", 133204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133204
"c:\Users\taker\code\web\grad-new\src\data\klis_irm21.json", "JSON", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 63
"c:\Users\taker\code\web\grad-new\src\data\klis_irm22.json", "JSON", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 65
"c:\Users\taker\code\web\grad-new\src\data\klis_kis21.json", "JSON", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 64
"c:\Users\taker\code\web\grad-new\src\data\klis_kis22.json", "JSON", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 65
"c:\Users\taker\code\web\grad-new\src\data\klis_ksc21.json", "JSON", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 64
"c:\Users\taker\code\web\grad-new\src\data\klis_ksc22.json", "JSON", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 65
